uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
Bartlett1949,"Bartlett, Kerry",LIBERAL,630,94,1998,2007,14.920634920634921
Marino1954,"Marino, Nola",LIBERAL,1000,93,2008,2022,9.3
Ley1961,"Ley, Sussan",LIBERAL,1442,93,2002,2022,6.449375866851595
Husar1980,"Husar, Emma",ALP,336,92,2016,2019,27.38095238095238
King1973,"King, Madeleine",ALP,413,92,2016,2022,22.276029055690074
Clare1972,"Clare, Jason",ALP,805,91,2008,2022,11.304347826086957
Aly1967,"Aly, Anne",ALP,432,91,2016,2022,21.064814814814813
Keogh1981,"Keogh, Matt",ALP,607,91,2016,2022,14.99176276771005
Gosling1971,"Gosling, Luke",ALP,690,88,2016,2022,12.753623188405797
Taylor1966,"Taylor, Angus",LIBERAL,783,88,2013,2022,11.23882503192848
Ellis1946,"Ellis, Annette",ALP,573,88,1998,2010,15.357766143106458
Freelander1953,"Freelander, Mike",ALP,477,87,2016,2022,18.238993710691823
Kelly1964,"Kelly, Jackie",LIBERAL,496,86,1998,2007,17.338709677419356
Dick1972,"Dick, Milton",ALP,633,86,2016,2022,13.58609794628752
Byrne1962,"Byrne, Anthony",ALP,737,85,2000,2022,11.533242876526458
Broadbent1950,"Broadbent, Russell",LIBERAL,868,84,1998,2022,9.67741935483871
Gambaro1958,"Gambaro, Teresa",LIBERAL,971,84,1998,2016,8.650875386199795
Wood1968,"Wood, Jason",LIBERAL,621,83,2004,2022,13.365539452495975
Barresi1955,"Barresi, Phil",LIBERAL,529,83,1998,2007,15.689981096408317
Hutchinson1965,"Hutchinson, Eric",LIBERAL,397,80,2013,2016,20.151133501259444
Hayes1955,"Hayes, Chris",ALP,1448,80,2005,2022,5.524861878453039
Howarth1972,"Howarth, Luke",LNP,280,78,2019,2022,27.857142857142858
Andrews1960,"Andrews, Karen",LIBERAL,497,77,2010,2019,15.492957746478874
Kelly1954,"Kelly, De-Anne",NATIONAL,915,77,1998,2007,8.415300546448087
McNamara1964,"McNamara, Karen",LIBERAL,350,77,2013,2016,22.0
Vamvakinou1959,"Vamvakinou, Maria",ALP,783,75,2002,2022,9.578544061302683
Hull1954,"Hull, Kay",NATIONAL,611,75,1998,2010,12.274959083469723
Sudmalis1955,"Sudmalis, Ann",LIBERAL,409,75,2013,2019,18.337408312958434
Gibbons1949,"Gibbons, Steve",ALP,514,74,1998,2013,14.396887159533074
Ramsey1956,"Ramsey, Rowan",LIBERAL,942,73,2008,2022,7.749469214437367
Burns1987,"Burns, Josh",ALP,282,73,2019,2022,25.886524822695037
Murphy1973,"Murphy, Peta",ALP,347,72,2019,2022,20.7492795389049
Andren1946,"Andren, Peter",IND,783,72,1998,2007,9.195402298850574
Elliot1967,"Elliot, Justine",ALP,804,72,2004,2022,8.955223880597014
Kearney1963,"Kearney, Ged",ALP,326,69,2018,2022,21.165644171779142
Oakeshott1969,"Oakeshott, Rob",IND,720,69,2008,2013,9.583333333333334
Whiteley1960,"Whiteley, Brett",LIBERAL,293,69,2013,2016,23.549488054607508
Johnson1970,"Johnson, Michael",LIBERAL,557,68,2002,2010,12.208258527827649
Baird1942,"Baird, Bruce",LIBERAL,833,68,1998,2007,8.16326530612245
Drum1960,"Drum, Kevin",NATIONAL,437,64,2016,2022,14.645308924485127
Swanson1970,"Swanson, Meryl",ALP,381,63,2016,2022,16.53543307086614
Hawker1949,"Hawker, David",LIBERAL,408,62,1998,2010,15.196078431372548
McGowan1953,"McGowan, Cathy",IND,717,61,2013,2019,8.507670850767084
Saffin1954,"Saffin, Janelle",ALP,587,60,2008,2013,10.221465076660989
Georgiou1947,"Georgiou, Petro",LIBERAL,354,59,1998,2010,16.666666666666668
Coulton1958,"Coulton, Mark",NATIONAL,663,59,2008,2022,8.89894419306184
Howarth1972,"Howarth, Luke",LIBERAL,514,58,2013,2018,11.284046692607005
Hollis1938,"Hollis, Colin",ALP,281,58,1998,2001,20.640569395017792
Gallus1943,"Gallus, Chris",LIBERAL,286,57,1998,2004,19.93006993006993
Irons1958,"Irons, Steve",LIBERAL,1050,56,2008,2022,5.333333333333333
Lyons1953,"Lyons, Geoff",ALP,329,56,2010,2013,17.02127659574468
Combet1958,"Combet, Greg",ALP,903,55,2008,2013,6.0908084163898115
Lawrence1948,"Lawrence, Carmen",ALP,337,54,1998,2007,16.023738872403563
Quick1941,"Quick, Harry",ALP,363,54,1998,2007,14.87603305785124
Causley1940,"Causley, Ian",NATIONAL,496,53,1998,2007,10.685483870967742
Feeney1970,"Feeney, David",ALP,218,53,2013,2018,24.31192660550459
Vaile1956,"Vaile, Mark",NATIONAL,1452,53,1998,2008,3.650137741046832
Scott1977,"Scott, Fiona",LIBERAL,255,53,2013,2016,20.784313725490197
Khalil1973,"Khalil, Peter",ALP,358,53,2016,2022,14.804469273743017
Draper1959,"Draper, Trish",LIBERAL,416,53,1998,2007,12.740384615384615
Buchholz1968,"Buchholz, Scott",LIBERAL,661,52,2010,2018,7.866868381240544
Farmer1962,"Farmer, Pat",LIBERAL,255,51,2002,2010,20.0
Thomson1964,"Thomson, Craig",ALP,367,50,2008,2011,13.623978201634877
Markus1958,"Markus, Louise",LIBERAL,503,49,2004,2016,9.74155069582505
Fischer1946,"Fischer, Tim",NATIONAL,352,49,1998,2001,13.920454545454545
Brodtmann1963,"Brodtmann, Gai",ALP,1149,48,2010,2019,4.177545691906006
Moylan1944,"Moylan, Judi",LIBERAL,708,47,1998,2013,6.638418079096045
Jackson1962,"Jackson, Sharryn",ALP,338,45,2002,2010,13.31360946745562
Campbell1939,"Campbell, Graeme",IND,149,44,1998,1998,29.530201342281877
May1950,"May, Margaret",LIBERAL,498,44,1998,2010,8.835341365461847
Gorman1984,"Gorman, Patrick",ALP,229,44,2018,2022,19.213973799126638
Livermore1969,"Livermore, Kirsten",ALP,586,44,1998,2013,7.508532423208191
Price1963,"Price, Melissa",LIBERAL,541,43,2013,2022,7.948243992606285
Georganas1959,"Georganas, Steve",ALP,1009,43,2004,2022,4.261645193260654
Zappia1952,"Zappia, Tony",ALP,1215,43,2008,2022,3.539094650205761
Bidgood1959,"Bidgood, James",ALP,184,42,2008,2010,22.82608695652174
Wilson1972,"Wilson, Josh",ALP,348,42,2016,2022,12.068965517241379
Laundy1971,"Laundy, Craig",LIBERAL,369,41,2013,2019,11.11111111111111
Littleproud1976,"Littleproud, David",NATIONAL,217,40,2016,2018,18.433179723502302
Worth1946,"Worth, Trish",LIBERAL,368,40,1998,2004,10.869565217391305
Hammond1975,"Hammond, Tim",ALP,187,40,2016,2018,21.390374331550802
Hale1969,"Hale, Damian",ALP,229,39,2008,2010,17.03056768558952
Robert1970,"Robert, Stuart",LNP,364,39,2019,2021,10.714285714285714
Hendy1962,"Hendy, Peter",LIBERAL,224,38,2013,2016,16.964285714285715
Allen1966,"Allen, Katie",LIBERAL,428,37,2019,2022,8.644859813084112
Wallace1968,"Wallace, Andrew",LIBERAL,413,37,2016,2018,8.958837772397095
King1952,"King, Peter",LIBERAL,252,37,2002,2004,14.682539682539682
Sullivan1950,"Sullivan, Jon",ALP,192,36,2008,2010,18.75
