uniqueID,name,party,n_turns,n_heckles,first_year,last_year,heckle_rate_per_100_turns
McLeay1945,"McLeay, Leo",ALP,190,51,1998,2004,26.842105263157894
Gorman1984,"Gorman, Patrick",ALP,324,51,2018,2025,15.74074074074074
Bell1968,"Bell, Angie",LIB,382,51,2019,2025,13.350785340314136
Georganas1959,"Georganas, Steve",ALP,982,50,2004,2025,5.091649694501018
Cameron1965,"Cameron, Ross",LIB,310,50,1998,2004,16.129032258064516
Jones1960,"Jones, Ewen",LIB,388,50,2010,2016,12.88659793814433
Watts1982,"Watts, Tim",ALP,542,50,2013,2025,9.22509225092251
Bartlett1949,"Bartlett, Kerry",LIB,474,50,1998,2007,10.548523206751055
Barresi1955,"Barresi, Phil",LIB,341,49,1998,2007,14.36950146627566
Martin1948,"Martin, Stephen",ALP,194,49,1998,2002,25.257731958762886
Broad1975,"Broad, Andrew",NP,305,49,2013,2019,16.065573770491802
Thistlethwaite1972,"Thistlethwaite, Matt",ALP,859,49,2013,2025,5.70430733410943
ODowd1950,"O'Dowd, Ken",NP,578,48,2010,2022,8.304498269896193
Laundy1971,"Laundy, Craig",LIB,232,48,2013,2019,20.689655172413794
Freelander1953,"Freelander, Mike",ALP,481,48,2016,2025,9.97920997920998
Kelly1964,"Kelly, Jackie",LIB,283,46,1998,2007,16.25441696113074
Swanson1970,"Swanson, Meryl",ALP,438,46,2016,2025,10.502283105022832
Haase1945,"Haase, Barry",LIB,406,45,1998,2013,11.083743842364532
Livermore1969,"Livermore, Kirsten",ALP,453,45,1998,2013,9.933774834437086
Gash1944,"Gash, Joanna",LIB,549,45,1998,2013,8.19672131147541
Prentice1953,"Prentice, Jane",LIB,745,44,2010,2019,5.906040268456376
McBain1982,"McBain, Kristy",ALP,245,43,2020,2025,17.551020408163264
Keogh1981,"Keogh, Matt",ALP,598,43,2016,2025,7.190635451505017
Coleman1974,"Coleman, David",LIB,679,43,2013,2025,6.332842415316642
McGowan1953,"McGowan, Cathy",IND,616,42,2013,2019,6.818181818181818
Gillespie1957,"Gillespie, David",NP,629,42,2013,2025,6.677265500794912
Hastie1982,"Hastie, Andrew",LIB,421,42,2015,2025,9.97624703087886
Nikolic1961,"Nikolic, Andrew",LIB,247,41,2013,2016,16.59919028340081
Gosling1971,"Gosling, Luke",ALP,802,41,2016,2025,5.112219451371571
Hamilton1979,"Hamilton, Garth",LIB,204,40,2021,2025,19.607843137254903
Sharkie1972,"Sharkie, Rebekha",CA,775,39,2018,2025,5.032258064516129
Conaghan1971,"Conaghan, Pat",NP,374,39,2019,2025,10.427807486631016
Simpkins1964,"Simpkins, Luke",LIB,597,39,2008,2016,6.532663316582915
Leeser1976,"Leeser, Julian",LIB,623,38,2016,2025,6.099518459069021
Irwin1951,"Irwin, Julia",ALP,370,38,1998,2010,10.27027027027027
